Season,Matchday,Home Team,Score,Away Team
2008,1,Dundalk FC,0-1,Bohemians
2008,1,St. Pat's,0-3,Galway United
2008,1,Bray Wanderers,0-0,Shamrock Rovers
2008,1,Derry City,1-0,Drogheda United
2008,1,Sligo Rovers,1-1,Cork City
2008,2,Bohemians,1-1,Derry City
2008,2,Cork City,0-1,St. Pat's
2008,2,Drogheda United,0-0,Bray Wanderers
2008,2,Galway United,1-0,Dundalk FC
2008,2,Shamrock Rovers,2-1,Sligo Rovers
2008,3,Sligo Rovers,0-1,St. Pat's
2008,3,Dundalk FC,3-0,Drogheda United
2008,3,Bohemians,2-0,Shamrock Rovers
2008,3,Derry City,2-1,Cork City
2008,3,Bray Wanderers,2-2,Galway United
2008,4,Galway United,0-0,Sligo Rovers
2008,4,Cork City,2-1,Bray Wanderers
2008,4,Drogheda United,0-1,Bohemians
2008,4,St. Pat's,2-0,Dundalk FC
2008,4,Shamrock Rovers,1-2,Derry City
2008,5,Sligo Rovers,1-3,Dundalk FC
2008,5,Drogheda United,2-2,Shamrock Rovers
2008,5,Bohemians,0-1,Cork City
2008,5,Bray Wanderers,2-1,St. Pat's
2008,5,Derry City,1-1,Galway United
2008,6,Dundalk FC,0-1,Shamrock Rovers
2008,6,Cork City,1-0,Drogheda United
2008,6,Galway United,0-2,Bohemians
2008,6,St. Pat's,0-3,Derry City
2008,6,Sligo Rovers,2-1,Bray Wanderers
2008,7,Bohemians,3-0,St. Pat's
2008,7,Derry City,1-2,Sligo Rovers
2008,7,Drogheda United,0-1,Galway United
2008,7,Bray Wanderers,1-1,Dundalk FC
2008,7,Shamrock Rovers,1-1,Cork City
2008,8,Bray Wanderers,1-1,Derry City
2008,8,Dundalk FC,1-2,Cork City
2008,8,Galway United,1-3,Shamrock Rovers
2008,8,St. Pat's,2-1,Drogheda United
2008,8,Sligo Rovers,0-0,Bohemians
2008,9,Shamrock Rovers,2-0,St. Pat's
2008,9,Derry City,0-1,Dundalk FC
2008,9,Drogheda United,0-0,Sligo Rovers
2008,9,Bohemians,2-0,Bray Wanderers
2008,9,Cork City,1-0,Galway United
2008,10,Drogheda United,0-3,Derry City
2008,10,Cork City,1-0,Sligo Rovers
2008,10,Bohemians,5-0,Dundalk FC
2008,10,Galway United,2-1,St. Pat's
2008,10,Shamrock Rovers,0-1,Bray Wanderers
2008,11,Dundalk FC,1-0,Galway United
2008,11,Sligo Rovers,0-3,Shamrock Rovers
2008,11,St. Pat's,0-3,Cork City
2008,11,Bray Wanderers,0-1,Drogheda United
2008,11,Derry City,3-2,Bohemians
2008,12,Galway United,3-0,Bray Wanderers
2008,12,Cork City,1-0,Derry City
2008,12,Drogheda United,1-1,Dundalk FC
2008,12,St. Pat's,2-2,Sligo Rovers
2008,12,Shamrock Rovers,2-1,Bohemians
2008,13,Sligo Rovers,2-0,Galway United
2008,13,Dundalk FC,0-1,St. Pat's
2008,13,Derry City,0-0,Shamrock Rovers
2008,13,Bohemians,1-0,Drogheda United
2008,13,Bray Wanderers,0-2,Cork City
2008,14,Galway United,0-3,Derry City
2008,14,St. Pat's,1-1,Bray Wanderers
2008,14,Cork City,0-1,Bohemians
2008,14,Dundalk FC,0-2,Sligo Rovers
2008,14,Shamrock Rovers,1-1,Drogheda United
2008,15,Bohemians,2-0,Galway United
2008,15,Derry City,1-0,St. Pat's
2008,15,Shamrock Rovers,3-1,Dundalk FC
2008,15,Bray Wanderers,3-1,Sligo Rovers
2008,15,Drogheda United,2-1,Cork City
2008,16,Dundalk FC,3-0,Bray Wanderers
2008,16,Sligo Rovers,0-1,Derry City
2008,16,St. Pat's,3-1,Bohemians
2008,16,Cork City,0-0,Shamrock Rovers
2008,16,Galway United,1-1,Drogheda United
2008,17,Bohemians,2-0,Sligo Rovers
2008,17,Cork City,1-2,Dundalk FC
2008,17,Derry City,2-0,Bray Wanderers
2008,17,Drogheda United,1-0,St. Pat's
