Home,Away,Attendance,Date,Referee,Season
Dundalk FC,Derry City                                                                     ,,"Feb 18, 2022", Robert,2022
Shelbourne,St. Pat's                                                                     ,,"Feb 18, 2022", Robert,2022
Shamrock Rovers,UCD                                                                     ,,"Feb 18, 2022", Derek,2022
Finn Harps,Drogheda United                                                                     ,,"Apr 4, 2022",Oliver Moran,2022
Sligo Rovers,Bohemians                                                                     ,,"Apr 5, 2022",David Dunne,2022
Drogheda United,Shelbourne                                                                     ,,"Feb 25, 2022", Oliver,2022
St. Pat's,Sligo Rovers                                                                     ,,"Feb 25, 2022",Ben Connolly,2022
Bohemians,Dundalk FC                                                                     ,,"Feb 25, 2022",Paul McLaughlin,2022
UCD,Finn Harps                                                                     ,,"Feb 25, 2022",David Dunne,2022
Derry City,Shamrock Rovers                                                                     ,"3,700","Feb 25, 2022",out ·,2022
UCD,Shelbourne                                                                     ,,"Feb 28, 2022",Alan Patchell,2022
Bohemians,St. Pat's                                                                     ,,"Feb 28, 2022",Neil Doyle,2022
Derry City,Sligo Rovers                                                                     ,,"Feb 28, 2022",Damien MacGraith,2022
Dundalk FC,Finn Harps                                                                     ,,"Feb 28, 2022", John,2022
Shamrock Rovers,Drogheda United                                                                     ,,"Feb 28, 2022", Adriano,2022
Drogheda United,UCD                                                                     ,,"Mar 4, 2022", Kevin,2022
Shelbourne,Derry City                                                                     ,,"Mar 4, 2022",Ray Matthews,2022
St. Pat's,Shamrock Rovers                                                                     ,,"Mar 4, 2022", Robert,2022
Finn Harps,Bohemians                                                                     ,,"Mar 4, 2022",Damien MacGraith,2022
Sligo Rovers,Dundalk FC                                                                     ,,"Mar 5, 2022", Neil,2022
Drogheda United,Sligo Rovers                                                                     ,,"Mar 11, 2022",Paul McLaughlin,2022
Shelbourne,Dundalk FC                                                                     ,,"Mar 11, 2022",Derek Tomney,2022
Shamrock Rovers,Bohemians                                                                     ,,"Mar 11, 2022", Robert,2022
Finn Harps,St. Pat's                                                                     ,,"Mar 11, 2022",Adriano Reale,2022
UCD,Derry City                                                                     ,,"Apr 4, 2022",Kevin O'Sullivan,2022
Sligo Rovers,Finn Harps                                                                     ,,"Mar 14, 2022", Ben,2022
Bohemians,Shelbourne                                                                     ,,"Mar 14, 2022",Robert Harvey,2022
St. Pat's,UCD                                                                     ,,"Mar 14, 2022",Ray Matthews,2022
Derry City,Drogheda United                                                                     ,,"Mar 14, 2022",Neil Doyle,2022
Dundalk FC,Shamrock Rovers                                                                     ,,"Mar 14, 2022", Damien,2022
UCD,Bohemians                                                                     ,,"Mar 18, 2022",Seán Grant,2022
Derry City,St. Pat's                                                                     ,,"Mar 18, 2022",Damien MacGraith,2022
